episode_reward,moving_avg
-140.52703946828842,-123.47401621937752
-84.48708236217499,-117.81299814581871
-135.35357230901718,-116.05289709568024
-144.72019284963608,-121.2939566552639
-146.10008943080902,-126.01709811687469
-126.30719769001007,-123.47869980335236
-130.3893964290619,-125.44905622005463
-88.30174422264099,-123.34867567420005
-97.505695104599,-118.0421430170536
-123.88144260644913,-121.75734524726867
-100.56404829025269,-117.7610461294651
-81.93109893798828,-117.50544778704644
-127.30171424150467,-116.70026198029518
-165.88668584823608,-118.81691128015518
-93.66013377904892,-113.57291571497917
-118.11293280124664,-112.75348922610283
-97.57856684923172,-109.47240626811981
-78.31374073028564,-108.47360591888427
-122.7785255908966,-111.00088896751404
-120.85227048397064,-110.6979717552662
-91.67410987615585,-109.80897791385651
-152.05580687522888,-116.82144870758057
-144.60124731063843,-118.55140201449395
-149.96545261144638,-116.95927869081497
-98.3122102022171,-117.4244863331318
-135.12748849391937,-119.12594190239906
-104.05187392234802,-119.77327260971069
-124.90936172008514,-124.43283470869065
-130.2927850484848,-125.18426065444946
-130.96833550930023,-126.19586715698242
-128.03388327360153,-129.831844496727
-89.83455491065979,-123.60971930027009
-76.93924459815025,-116.84351902902127
-100.77072685956955,-111.92404645383358
-70.54158464074135,-109.146983897686
-100.81392687559128,-105.71562773585319
-86.13713344931602,-103.92415368854999
-93.53141731023788,-100.78635924756527
-150.030131816864,-102.7600939244032
-85.3478302359581,-98.19804339706897
-90.3294426202774,-94.42759933173656
-125.18744796514511,-97.9628886371851
-138.07696217298508,-104.07666039466858
-115.67083358764648,-105.56667106747628
-104.81790614128113,-108.99430321753024
-123.28460907936096,-111.24137143790722
-88.10698854923248,-111.43835694789887
-131.7219626903534,-115.25741148591041
-89.5590431690216,-109.21030262112617
-66.60290905833244,-107.3358105033636
-68.92740398645401,-105.19560663998126
-125.54224097728729,-105.23108594119549
-127.0102509856224,-104.12441482245922
-128.31900960206985,-105.38923242390156
-76.51409873366356,-102.5588516831398
-74.95826283097267,-97.72621705830097
-83.90410670638084,-97.3059288740158
-74.96875482797623,-91.63060808777809
-74.40842488408089,-90.11554625928402
-112.47714936733246,-94.70297029018403
-118.80492353439331,-99.69072224497795
-110.54341208934784,-98.190839356184
-69.22969913482666,-92.41278417110443
-69.49786454439163,-86.5306696653366
-137.9055545926094,-92.6698152512312
-63.28318244218826,-91.50230721235275
-86.50869709253311,-91.76276625096799
-84.04160386323929,-92.67005115449429
-62.160720735788345,-91.44528073966504
-108.50604939460754,-91.04817074239254
-108.27357631921768,-89.99503602087498
-109.37810325622559,-89.87850513756275
-56.293100506067276,-88.58484527468681
-73.78295171260834,-89.01335399150848
-67.87248620390892,-82.01004715263844
-121.08647990226746,-87.79037689864636
-107.63510525226593,-89.90301771461964
